review_id,viewer_id,movie_id,rating,review_text,review_date
1,78,10,5,The Comedy Club is a decent watch if you have nothing else.,2025-01-17
2,31,41,1,Poor execution. Sci-Fi deserves better than Galactic Empire.,2025-02-01
3,4,8,2,Couldn't finish Love in Paris. Too slow and unengaging.,2025-01-01
4,117,38,9,Cosmic Drift exceeded all my expectations. Highly recommended!,2024-12-14
5,6,45,10,One of the best Sci-Fi films I've seen this year.,2025-03-30
6,188,45,3,The plot of Time Warp was predictable and boring.,2025-03-29
7,102,44,7,Absolutely loved this movie! Rogue Agent was a masterpiece.,2025-04-12
8,128,28,8,One of the best Thriller films I've seen this year.,2025-02-01
9,4,37,1,Couldn't finish Heartstrings. Too slow and unengaging.,2025-03-30
10,198,18,5,Red Alert is a decent watch if you have nothing else.,2025-01-18
11,69,2,5,Average Sci-Fi film. Dark Orbit had some good moments.,2025-01-01
12,177,29,1,Couldn't finish Funny Business. Too slow and unengaging.,2025-04-09
13,145,28,9,A must-watch! Broken Compass delivers on every level.,2024-08-24
14,60,46,1,Not worth the hype. Secret Garden was mediocre at best.,2024-10-27
15,23,39,6,The Prankster is a decent watch if you have nothing else.,2024-09-02
16,140,11,6,Mixed feelings about Quantum Break. Some parts were great.,2024-07-23
17,139,10,6,Mixed feelings about The Comedy Club. Some parts were great.,2024-10-05
18,45,38,7,Cosmic Drift exceeded all my expectations. Highly recommended!,2024-09-04
19,89,50,5,Average Drama film. Parallel Lives had some good moments.,2024-05-22
20,193,32,9,One of the best Comedy films I've seen this year.,2024-10-29
21,111,6,10,Crimson Tide II exceeded all my expectations. Highly recommended!,2025-02-20
22,86,23,8,One of the best Comedy films I've seen this year.,2024-07-29
23,175,11,1,Not worth the hype. Quantum Break was mediocre at best.,2024-08-15
24,161,10,10,The Comedy Club exceeded all my expectations. Highly recommended!,2024-07-29
25,162,48,3,Waste of time. The acting in Code Red felt forced.,2025-02-19
26,53,45,7,Absolutely loved this movie! Time Warp was a masterpiece.,2024-09-29
27,29,33,9,Absolutely loved this movie! Mars Colony was a masterpiece.,2024-08-08
28,27,37,1,Not worth the hype. Heartstrings was mediocre at best.,2024-07-24
29,171,11,4,Couldn't finish Quantum Break. Too slow and unengaging.,2024-05-03
30,86,32,2,Not worth the hype. The Stand-up was mediocre at best.,2024-10-22
31,141,26,9,A must-watch! Deep Blue delivers on every level.,2024-10-12
32,57,37,6,Heartstrings is a decent watch if you have nothing else.,2024-05-14
33,193,7,4,Couldn't finish The Final Frontier. Too slow and unengaging.,2024-06-06
34,117,10,4,Couldn't finish The Comedy Club. Too slow and unengaging.,2025-05-01
35,130,7,8,Great storytelling and cinematography in The Final Frontier.,2025-03-26
36,178,20,4,Poor execution. Comedy deserves better than Dark Comedy Hour.,2024-11-27
37,54,35,2,The plot of Nature's Fury was predictable and boring.,2025-04-19
38,5,2,5,Dark Orbit was okay. Nothing special but not terrible.,2025-01-15
39,48,50,2,Disappointing. Parallel Lives failed to deliver on its promise.,2024-12-23
40,116,8,7,Love in Paris exceeded all my expectations. Highly recommended!,2024-05-28
41,104,1,10,Stellar Run exceeded all my expectations. Highly recommended!,2024-11-07
42,100,24,4,Not worth the hype. Binary Stars was mediocre at best.,2024-09-24
43,159,38,8,A must-watch! Cosmic Drift delivers on every level.,2024-06-21
44,152,3,8,Absolutely loved this movie! Last Kingdom was a masterpiece.,2024-08-19
45,82,23,1,Not worth the hype. The Last Joke was mediocre at best.,2024-05-08
46,122,25,9,Incredible visuals and plot. Haunted Manor is a gem.,2025-03-12
47,109,45,10,The acting in Time Warp was phenomenal. Will watch again.,2024-11-03
48,176,32,1,Poor execution. Comedy deserves better than The Stand-up.,2025-04-12
49,125,49,2,Poor execution. Comedy deserves better than Happy Endings.,2024-12-23
50,140,6,2,The plot of Crimson Tide II was predictable and boring.,2024-06-12
51,25,30,7,A must-watch! War Zone delivers on every level.,2024-11-10
52,62,39,8,Absolutely loved this movie! The Prankster was a masterpiece.,2024-11-17
53,80,36,8,Great storytelling and cinematography in Desert Storm.,2024-06-21
54,106,7,1,Couldn't finish The Final Frontier. Too slow and unengaging.,2025-02-25
55,152,44,1,Waste of time. The acting in Rogue Agent felt forced.,2024-09-16
56,18,33,3,Poor execution. Sci-Fi deserves better than Mars Colony.,2024-12-12
57,179,37,7,Incredible visuals and plot. Heartstrings is a gem.,2024-07-31
58,168,47,1,Not worth the hype. Urban Legends was mediocre at best.,2024-07-06
59,31,45,9,One of the best Sci-Fi films I've seen this year.,2025-02-01
60,116,19,3,Disappointing. Frozen Hearts failed to deliver on its promise.,2024-12-04
61,154,22,7,Absolutely loved this movie! Steel Rain was a masterpiece.,2024-05-15
62,40,5,4,Poor execution. Drama deserves better than Echoes of Tomorrow.,2024-08-26
63,64,1,7,Incredible visuals and plot. Stellar Run is a gem.,2024-06-01
64,46,50,7,Absolutely loved this movie! Parallel Lives was a masterpiece.,2024-11-28
65,47,15,6,Iron Will is a decent watch if you have nothing else.,2025-01-04
66,183,29,2,Disappointing. Funny Business failed to deliver on its promise.,2025-02-06
67,36,9,10,The acting in Midnight Express was phenomenal. Will watch again.,2025-04-19
68,113,32,6,The Stand-up is a decent watch if you have nothing else.,2025-04-21
69,182,34,6,Night Stalker was okay. Nothing special but not terrible.,2024-09-29
70,122,3,5,Last Kingdom is a decent watch if you have nothing else.,2024-07-20
71,180,28,2,Disappointing. Broken Compass failed to deliver on its promise.,2025-03-18
72,68,43,6,Mountain Peak is a decent watch if you have nothing else.,2024-10-08
73,130,16,3,Disappointing. Ocean's Call failed to deliver on its promise.,2025-04-19
74,42,6,10,Great storytelling and cinematography in Crimson Tide II.,2024-05-26
75,51,29,9,Funny Business exceeded all my expectations. Highly recommended!,2024-07-20
76,68,31,2,Couldn't finish Eternal Love. Too slow and unengaging.,2025-01-27
77,150,27,2,Waste of time. The acting in Wild Planet felt forced.,2025-04-11
78,60,13,3,Not worth the hype. Ghost Protocol was mediocre at best.,2025-02-22
79,192,45,7,Absolutely loved this movie! Time Warp was a masterpiece.,2024-10-23
80,16,33,1,Disappointing. Mars Colony failed to deliver on its promise.,2024-08-06
81,171,18,10,The acting in Red Alert was phenomenal. Will watch again.,2025-04-27
82,78,9,6,Average Thriller film. Midnight Express had some good moments.,2024-08-29
83,55,13,8,One of the best Thriller films I've seen this year.,2024-08-29
84,55,7,3,Poor execution. Sci-Fi deserves better than The Final Frontier.,2024-07-22
85,163,41,9,Incredible visuals and plot. Galactic Empire is a gem.,2025-03-26
86,38,43,3,Waste of time. The acting in Mountain Peak felt forced.,2025-02-16
87,195,5,8,The acting in Echoes of Tomorrow was phenomenal. Will watch again.,2025-03-25
88,145,11,4,Couldn't finish Quantum Break. Too slow and unengaging.,2024-10-02
89,161,24,4,Not worth the hype. Binary Stars was mediocre at best.,2024-10-05
90,16,49,7,Absolutely loved this movie! Happy Endings was a masterpiece.,2024-11-18
91,200,26,1,The plot of Deep Blue was predictable and boring.,2024-05-23
92,186,24,7,One of the best Sci-Fi films I've seen this year.,2024-06-25
93,58,48,3,Poor execution. Action deserves better than Code Red.,2024-06-21
94,131,27,3,The plot of Wild Planet was predictable and boring.,2024-06-29
95,134,19,8,Incredible visuals and plot. Frozen Hearts is a gem.,2025-03-24
96,111,39,1,Poor execution. Comedy deserves better than The Prankster.,2025-03-29
97,144,6,3,Couldn't finish Crimson Tide II. Too slow and unengaging.,2025-04-11
98,95,18,7,Red Alert exceeded all my expectations. Highly recommended!,2024-09-06
99,167,22,5,Mixed feelings about Steel Rain. Some parts were great.,2024-11-25
100,121,33,8,One of the best Sci-Fi films I've seen this year.,2024-05-14
101,151,45,9,A must-watch! Time Warp delivers on every level.,2024-06-26
102,154,43,10,Great storytelling and cinematography in Mountain Peak.,2024-09-03
103,87,6,8,Crimson Tide II exceeded all my expectations. Highly recommended!,2024-08-02
104,133,40,2,Not worth the hype. Shadow Ops was mediocre at best.,2024-06-13
105,69,18,5,Average Action film. Red Alert had some good moments.,2024-11-22
106,83,16,10,Great storytelling and cinematography in Ocean's Call.,2024-11-04
107,79,13,6,Ghost Protocol is a decent watch if you have nothing else.,2024-12-10
108,68,39,7,A must-watch! The Prankster delivers on every level.,2024-05-29
109,49,50,10,Incredible visuals and plot. Parallel Lives is a gem.,2025-02-19
110,198,45,5,Average Sci-Fi film. Time Warp had some good moments.,2024-05-15
111,176,24,9,The acting in Binary Stars was phenomenal. Will watch again.,2024-11-18
112,53,30,10,The acting in War Zone was phenomenal. Will watch again.,2025-02-02
113,31,47,5,Average Horror film. Urban Legends had some good moments.,2025-01-16
114,154,41,6,Average Sci-Fi film. Galactic Empire had some good moments.,2024-06-04
115,128,24,4,Poor execution. Sci-Fi deserves better than Binary Stars.,2024-08-27
116,184,18,10,One of the best Action films I've seen this year.,2024-07-30
117,88,10,5,The Comedy Club was okay. Nothing special but not terrible.,2024-12-23
118,32,25,9,One of the best Horror films I've seen this year.,2025-04-30
119,18,13,5,Ghost Protocol is a decent watch if you have nothing else.,2024-09-11
120,141,38,5,Cosmic Drift is a decent watch if you have nothing else.,2025-01-20
121,69,4,7,A must-watch! Neon Shadows delivers on every level.,2024-08-24
122,153,7,8,One of the best Sci-Fi films I've seen this year.,2024-10-15
123,81,8,3,The plot of Love in Paris was predictable and boring.,2025-02-28
124,93,49,1,Disappointing. Happy Endings failed to deliver on its promise.,2025-03-27
125,72,7,9,The acting in The Final Frontier was phenomenal. Will watch again.,2024-12-15
126,33,7,7,Great storytelling and cinematography in The Final Frontier.,2025-04-11
127,170,37,1,Disappointing. Heartstrings failed to deliver on its promise.,2025-03-05
128,87,40,5,Mixed feelings about Shadow Ops. Some parts were great.,2024-09-23
129,62,15,4,Waste of time. The acting in Iron Will felt forced.,2024-06-26
130,147,49,5,Mixed feelings about Happy Endings. Some parts were great.,2024-12-31
131,39,2,9,The acting in Dark Orbit was phenomenal. Will watch again.,2024-11-20
132,196,15,3,Poor execution. Action deserves better than Iron Will.,2025-01-17
133,139,40,1,The plot of Shadow Ops was predictable and boring.,2025-03-16
134,147,48,10,Code Red exceeded all my expectations. Highly recommended!,2024-08-26
135,32,7,4,Poor execution. Sci-Fi deserves better than The Final Frontier.,2025-01-08
136,62,30,10,Great storytelling and cinematography in War Zone.,2025-02-02
137,57,18,2,Disappointing. Red Alert failed to deliver on its promise.,2024-12-30
138,172,20,7,The acting in Dark Comedy Hour was phenomenal. Will watch again.,2024-06-28
139,99,29,4,The plot of Funny Business was predictable and boring.,2025-03-11
140,21,27,8,One of the best Documentary films I've seen this year.,2025-02-14
141,190,25,10,Incredible visuals and plot. Haunted Manor is a gem.,2024-10-19
142,6,35,5,Average Documentary film. Nature's Fury had some good moments.,2024-05-22
143,126,28,9,Broken Compass exceeded all my expectations. Highly recommended!,2024-11-18
144,6,32,9,The acting in The Stand-up was phenomenal. Will watch again.,2024-10-15
145,114,39,4,Not worth the hype. The Prankster was mediocre at best.,2025-02-17
146,181,5,10,Incredible visuals and plot. Echoes of Tomorrow is a gem.,2024-05-09
147,175,25,3,Poor execution. Horror deserves better than Haunted Manor.,2025-01-15
148,56,21,6,City Lights is a decent watch if you have nothing else.,2024-12-12
149,64,46,5,Average Romance film. Secret Garden had some good moments.,2024-10-19
150,154,31,1,Couldn't finish Eternal Love. Too slow and unengaging.,2024-07-17
151,63,42,2,Poor execution. Comedy deserves better than Beach Party.,2024-05-01
152,6,25,10,Haunted Manor exceeded all my expectations. Highly recommended!,2024-10-29
153,98,2,8,One of the best Sci-Fi films I've seen this year.,2024-09-15
154,109,6,7,Crimson Tide II exceeded all my expectations. Highly recommended!,2024-11-04
155,59,18,6,Mixed feelings about Red Alert. Some parts were great.,2024-08-29
156,41,11,4,Waste of time. The acting in Quantum Break felt forced.,2024-06-05
157,133,39,9,Incredible visuals and plot. The Prankster is a gem.,2025-01-21
158,10,25,6,Haunted Manor was okay. Nothing special but not terrible.,2025-01-04
159,24,46,3,Disappointing. Secret Garden failed to deliver on its promise.,2024-06-20
160,179,36,1,Not worth the hype. Desert Storm was mediocre at best.,2025-03-22
161,135,17,8,Great storytelling and cinematography in Laugh Factory.,2024-12-02
162,37,28,5,Average Thriller film. Broken Compass had some good moments.,2025-01-04
163,105,20,3,Waste of time. The acting in Dark Comedy Hour felt forced.,2025-03-28
164,60,6,10,Absolutely loved this movie! Crimson Tide II was a masterpiece.,2024-07-12
165,168,48,3,Not worth the hype. Code Red was mediocre at best.,2024-07-25
166,121,28,3,The plot of Broken Compass was predictable and boring.,2025-04-23
167,51,39,2,Disappointing. The Prankster failed to deliver on its promise.,2025-03-11
168,69,12,9,Absolutely loved this movie! Silent Waters was a masterpiece.,2024-09-07
169,142,49,6,Average Comedy film. Happy Endings had some good moments.,2025-02-12
170,137,12,4,Disappointing. Silent Waters failed to deliver on its promise.,2024-11-16
171,44,50,5,Parallel Lives was okay. Nothing special but not terrible.,2024-08-18
172,130,4,7,Great storytelling and cinematography in Neon Shadows.,2025-02-05
173,13,31,3,The plot of Eternal Love was predictable and boring.,2024-12-29
174,156,24,10,Incredible visuals and plot. Binary Stars is a gem.,2024-12-10
175,119,16,8,Great storytelling and cinematography in Ocean's Call.,2024-05-03
176,29,46,4,The plot of Secret Garden was predictable and boring.,2024-06-08
177,156,49,1,Disappointing. Happy Endings failed to deliver on its promise.,2024-10-20
178,35,1,5,Stellar Run is a decent watch if you have nothing else.,2024-08-04
179,126,44,7,The acting in Rogue Agent was phenomenal. Will watch again.,2024-07-28
180,186,26,9,One of the best Documentary films I've seen this year.,2024-06-04
181,134,23,10,The acting in The Last Joke was phenomenal. Will watch again.,2024-10-06
182,193,17,9,One of the best Comedy films I've seen this year.,2025-02-05
183,129,32,3,Disappointing. The Stand-up failed to deliver on its promise.,2025-01-16
184,19,39,6,Mixed feelings about The Prankster. Some parts were great.,2025-03-03
185,155,27,7,One of the best Documentary films I've seen this year.,2024-11-29
186,96,2,6,Dark Orbit is a decent watch if you have nothing else.,2025-01-20
187,193,2,4,Poor execution. Sci-Fi deserves better than Dark Orbit.,2024-06-09
188,193,10,8,Incredible visuals and plot. The Comedy Club is a gem.,2024-07-03
189,195,48,3,Couldn't finish Code Red. Too slow and unengaging.,2024-11-28
190,102,16,3,Disappointing. Ocean's Call failed to deliver on its promise.,2025-01-05
191,113,17,8,One of the best Comedy films I've seen this year.,2024-09-05
192,183,30,6,Average Action film. War Zone had some good moments.,2024-09-06
193,34,27,1,The plot of Wild Planet was predictable and boring.,2025-02-16
194,164,7,5,Mixed feelings about The Final Frontier. Some parts were great.,2025-04-04
195,90,30,7,A must-watch! War Zone delivers on every level.,2024-09-22
196,20,39,5,Mixed feelings about The Prankster. Some parts were great.,2024-08-12
197,142,31,1,Poor execution. Romance deserves better than Eternal Love.,2025-03-28
198,91,22,4,Not worth the hype. Steel Rain was mediocre at best.,2024-08-15
199,43,1,2,The plot of Stellar Run was predictable and boring.,2024-05-02
200,144,18,1,Disappointing. Red Alert failed to deliver on its promise.,2024-08-14
201,56,41,9,Galactic Empire exceeded all my expectations. Highly recommended!,2025-04-19
202,115,26,6,Deep Blue is a decent watch if you have nothing else.,2024-11-05
203,160,21,5,Mixed feelings about City Lights. Some parts were great.,2025-04-05
204,133,38,2,Poor execution. Sci-Fi deserves better than Cosmic Drift.,2024-08-25
205,111,49,9,Absolutely loved this movie! Happy Endings was a masterpiece.,2024-05-25
206,200,36,10,The acting in Desert Storm was phenomenal. Will watch again.,2025-03-28
207,40,25,6,Haunted Manor is a decent watch if you have nothing else.,2024-06-10
208,69,10,3,The plot of The Comedy Club was predictable and boring.,2025-03-15
209,158,25,5,Haunted Manor is a decent watch if you have nothing else.,2025-01-09
210,11,3,5,Last Kingdom was okay. Nothing special but not terrible.,2025-02-22
211,50,27,10,Great storytelling and cinematography in Wild Planet.,2024-09-30
212,39,28,9,The acting in Broken Compass was phenomenal. Will watch again.,2024-12-22
213,54,1,2,The plot of Stellar Run was predictable and boring.,2025-04-12
214,68,47,8,Incredible visuals and plot. Urban Legends is a gem.,2025-03-29
215,57,30,3,Couldn't finish War Zone. Too slow and unengaging.,2024-08-22
216,30,6,8,Incredible visuals and plot. Crimson Tide II is a gem.,2024-11-07
217,158,47,6,Urban Legends is a decent watch if you have nothing else.,2024-12-20
218,148,36,9,Incredible visuals and plot. Desert Storm is a gem.,2024-11-13
219,162,43,6,Average Documentary film. Mountain Peak had some good moments.,2024-05-25
220,175,46,10,The acting in Secret Garden was phenomenal. Will watch again.,2024-05-17
221,72,39,4,The plot of The Prankster was predictable and boring.,2025-04-20
222,112,31,5,Mixed feelings about Eternal Love. Some parts were great.,2024-08-14
223,77,32,7,Absolutely loved this movie! The Stand-up was a masterpiece.,2024-07-03
224,77,17,2,The plot of Laugh Factory was predictable and boring.,2024-07-21
225,58,15,4,Poor execution. Action deserves better than Iron Will.,2025-02-12
226,26,45,9,The acting in Time Warp was phenomenal. Will watch again.,2024-10-28
227,106,48,7,One of the best Action films I've seen this year.,2024-07-15
228,85,20,2,The plot of Dark Comedy Hour was predictable and boring.,2025-02-07
229,160,31,2,Not worth the hype. Eternal Love was mediocre at best.,2025-04-02
230,112,26,7,Great storytelling and cinematography in Deep Blue.,2024-10-01
231,122,2,6,Mixed feelings about Dark Orbit. Some parts were great.,2025-03-02
232,79,16,8,One of the best Drama films I've seen this year.,2024-10-11
233,151,14,7,One of the best Comedy films I've seen this year.,2025-01-01
234,74,16,10,Incredible visuals and plot. Ocean's Call is a gem.,2025-02-06
235,87,11,10,Quantum Break exceeded all my expectations. Highly recommended!,2024-07-02
236,97,6,2,Disappointing. Crimson Tide II failed to deliver on its promise.,2025-03-20
237,189,1,3,Waste of time. The acting in Stellar Run felt forced.,2024-09-24
238,127,6,3,Disappointing. Crimson Tide II failed to deliver on its promise.,2025-04-30
239,121,12,1,The plot of Silent Waters was predictable and boring.,2024-12-03
240,94,44,6,Rogue Agent was okay. Nothing special but not terrible.,2025-04-11
241,43,20,6,Dark Comedy Hour was okay. Nothing special but not terrible.,2025-04-12
242,150,6,1,Waste of time. The acting in Crimson Tide II felt forced.,2025-05-01
243,50,11,7,Incredible visuals and plot. Quantum Break is a gem.,2024-08-23
244,28,18,10,Red Alert exceeded all my expectations. Highly recommended!,2024-06-20
245,135,5,10,Echoes of Tomorrow exceeded all my expectations. Highly recommended!,2025-02-20
246,17,30,10,Incredible visuals and plot. War Zone is a gem.,2024-12-19
247,41,42,9,Absolutely loved this movie! Beach Party was a masterpiece.,2024-08-20
248,156,15,5,Iron Will was okay. Nothing special but not terrible.,2024-10-12
249,87,43,3,Couldn't finish Mountain Peak. Too slow and unengaging.,2024-09-01
